Player Name,NBA Player ID,Headshot URL,Headshot File
Ivica Zubac,1627826,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png,ivica_zubac.png
Luka Dončić,1629029,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,luka_doncic.png
Austin Reaves,1630559,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png,austin_reaves.png
Rui Hachimura,1629060,https://cdn.nba.com/headshots/nba/latest/1040x760/1629060.png,rui_hachimura.png
LeBron James,2544,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png,lebron_james.png
Deandre Ayton,1629028,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,deandre_ayton.png
Ja Morant,1629630,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,ja_morant.png
Kentavious Caldwell-Pope,203484,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png,kentavious_caldwell_pope.png
Jaylen Wells,1642377,https://cdn.nba.com/headshots/nba/latest/1040x760/1642377.png,jaylen_wells.png
Jaren Jackson Jr.,1628991,https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png,jaren_jackson_jr.png
Zach Edey,1641744,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png,zach_edey.png
Tyler Herro,1629639,https://cdn.nba.com/headshots/nba/latest/1040x760/1629639.png,tyler_herro.png
Norman Powell,1626181,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png,norman_powell.png
Andrew Wiggins,203952,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png,andrew_wiggins.png
Bam Adebayo,1628389,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png,bam_adebayo.png
Kel’el Ware,1642276,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png,kelel_ware.png
Kevin Porter Jr.,1629645,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png,kevin_porter_jr.png
Gary Trent,718,https://cdn.nba.com/headshots/nba/latest/1040x760/718.png,gary_trent.png
Kyle Kuzma,1628398,https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png,kyle_kuzma.png
Giannis Antetokounmpo,203507,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png,giannis_antetokounmpo.png
Myles Turner,1626167,https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png,myles_turner.png
Donte DiVincenzo,1628978,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png,donte_divincenzo.png
Anthony Edwards,1630162,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,anthony_edwards.png
Jaden McDaniels,1630183,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png,jaden_mcdaniels.png
Julius Randle,203944,https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png,julius_randle.png
Rudy Gobert,203497,https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png,rudy_gobert.png
Jordan Poole,1629673,https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png,jordan_poole.png
Herb Jones,1630529,https://cdn.nba.com/headshots/nba/latest/1040x760/1630529.png,herb_jones.png
Trey Murphy III,1630530,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png,trey_murphy_iii.png
Zion Williamson,1629627,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,zion_williamson.png
Yves Missi,1642274,https://cdn.nba.com/headshots/nba/latest/1040x760/1642274.png,yves_missi.png
Jalen Brunson,1628973,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png,jalen_brunson.png
Mikal Bridges,1628969,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,mikal_bridges.png
Josh Hart,1628404,https://cdn.nba.com/headshots/nba/latest/1040x760/1628404.png,josh_hart.png
OG Anunoby,1628384,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png,og_anunoby.png
Karl-Anthony Towns,1626157,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png,karl_anthony_towns.png
Shai Gilgeous-Alexander,1628983,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png,shai_gilgeous_alexander.png
Lu Dort,1629652,https://cdn.nba.com/headshots/nba/latest/1040x760/1629652.png,lu_dort.png
Jalen Williams,1631114,https://cdn.nba.com/headshots/nba/latest/1040x760/1631114.png,jalen_williams.png
Chet Holmgren,1631096,https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png,chet_holmgren.png
Isaiah Hartenstein,1628392,https://cdn.nba.com/headshots/nba/latest/1040x760/1628392.png,isaiah_hartenstein.png
Jalen Suggs,1630591,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png,jalen_suggs.png
Desmond Bane,1630217,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png,desmond_bane.png
Franz Wagner,1630532,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png,franz_wagner.png
Paolo Banchero,1631094,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png,paolo_banchero.png
Wendell Carter Jr.,1628976,https://cdn.nba.com/headshots/nba/latest/1040x760/1628976.png,wendell_carter_jr.png
Devin Booker,1626164,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png,devin_booker.png
Jalen Green,1630224,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png,jalen_green.png
Dillon Brooks,1628415,https://cdn.nba.com/headshots/nba/latest/1040x760/1628415.png,dillon_brooks.png
Ryan Dunn,1642346,https://cdn.nba.com/headshots/nba/latest/1040x760/1642346.png,ryan_dunn.png
Mark Williams,1631109,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png,mark_williams.png
Scoot Henderson,1630703,https://cdn.nba.com/headshots/nba/latest/1040x760/1630703.png,scoot_henderson.png
Shaedon Sharpe,1631101,https://cdn.nba.com/headshots/nba/latest/1040x760/1631101.png,shaedon_sharpe.png
Toumani Camara,1641739,https://cdn.nba.com/headshots/nba/latest/1040x760/1641739.png,toumani_camara.png
Deni Avdija,1630166,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png,deni_avdija.png
Donovan Clingan,1642270,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png,donovan_clingan.png
Dennis Schröder,203471,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png,dennis_schroder.png
Zach LaVine,203897,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png,zach_lavine.png
DeMar DeRozan,201942,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,demar_derozan.png
Keegan Murray,1631099,https://cdn.nba.com/headshots/nba/latest/1040x760/1631099.png,keegan_murray.png
Domantas Sabonis,1627734,https://cdn.nba.com/headshots/nba/latest/1040x760/1627734.png,domantas_sabonis.png
De’Aaron Fox,1628368,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png,deaaron_fox.png
Stephon Castle,1642264,https://cdn.nba.com/headshots/nba/latest/1040x760/1642264.png,stephon_castle.png
Devin Vassell,1630170,https://cdn.nba.com/headshots/nba/latest/1040x760/1630170.png,devin_vassell.png
Harrison Barnes,203084,https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png,harrison_barnes.png
Victor Wembanyama,1641705,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png,victor_wembanyama.png
Immanuel Quickley,1630193,https://cdn.nba.com/headshots/nba/latest/1040x760/1630193.png,immanuel_quickley.png
RJ Barrett,1629628,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png,rj_barrett.png
Brandon Ingram,1627742,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png,brandon_ingram.png
Scottie Barnes,1630567,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png,scottie_barnes.png
Jakob Poeltl,1627751,https://cdn.nba.com/headshots/nba/latest/1040x760/1627751.png,jakob_poeltl.png
